Stock_number,Stock_name,Initial_weight,Industry,DCF_value_per_share
601088,中国神华,0.05,煤炭开采,45
601225,陕西煤业,0.05,煤炭开采,40
600985,淮北矿业,0.05,煤炭开采,25
002738,中矿资源,0.05,能源金属,60
002460,赣锋锂业,0.05,能源金属,50
000933,神火股份,0.05,煤炭开采,36
000807,云铝股份,0.05,有色金属,25
600079,人福医药,0.05,医药制造,28
603345,安井食品,0.02,食品,128
601898,中煤能源,0.05,煤炭开采,39
600900,长江电力,0.05,公用事业,39
601919,中远海控,0.05,海运,20
000333,美的集团,0.05,家电,100
000651,格力电器,0.05,家电,60
600690,海尔智家,0.05,家电,40
600362,江西铜业,0.01,有色金属,33
601668,中国铝业,0.05,有色金属,9
000543,皖能电力,0.01,公用事业,10
600795,国电电力,0.01,公用事业,8
CASH,现金,0.2,现金,
