date,open,high,low,close,volume,amount,turnover_rate
2022-05-13,111.03,111.84,108.02,108.86,144534,1578048784.0,1.68
2022-05-16,109.99,111.68,107.36,107.55,157436,1717750912.0,1.83
2022-05-17,108.2,118.31,107.95,117.21,446805,5127395072.0,5.2
2022-05-18,116.88,119.23,115.89,117.51,304722,3583245808.0,3.55
2022-05-19,115.99,121.66,114.92,120.53,318521,3774921040.0,3.71
2022-05-20,121.54,123.55,118.44,121.52,261564,3163188512.0,3.04
2022-05-23,122.0,127.21,121.39,124.8,317848,3932404672.0,3.7
2022-05-24,123.5,125.99,119.35,119.7,316406,3883770128.0,3.68
2022-05-25,119.43,121.18,116.68,118.99,202952,2412237952.0,2.36
2022-05-26,120.98,124.28,118.06,121.2,271902,3307682672.0,3.16
2022-05-27,123.99,124.1,118.7,119.4,195113,2365441104.0,2.27
2022-05-30,120.48,121.81,118.1,119.23,167142,2000159072.0,1.94
2022-05-31,119.23,119.46,116.12,119.0,181603,2144875888.0,2.11
2022-06-01,118.11,118.47,114.01,117.05,234964,2731446096.0,2.73
2022-06-02,115.51,117.3,114.68,116.68,220804,2567627616.0,2.57
2022-06-06,117.15,128.3,117.15,126.84,431822,5367176960.0,5.02
2022-06-07,126.89,128.66,125.57,127.13,271096,3443289072.0,3.15
2022-06-08,130.0,133.8,128.41,130.79,410232,5379758080.0,4.77
2022-06-09,129.84,131.99,127.18,128.15,227067,2937003408.0,2.64
2022-06-10,126.72,131.6,126.15,131.48,254755,3298211120.0,2.96
2022-06-13,129.38,139.34,129.38,137.0,398083,5388199424.0,4.63
2022-06-14,134.94,135.16,130.0,134.87,292404,3891709648.0,3.4
2022-06-15,135.0,137.83,132.63,135.45,298884,4052071904.0,3.48
2022-06-16,134.8,136.39,131.81,131.97,223434,2982037616.0,2.6
2022-06-17,130.0,141.99,129.9,140.2,381587,5289982208.0,4.44
2022-06-20,140.5,143.68,139.46,141.49,287873,4080291744.0,3.35
2022-06-21,140.63,140.79,134.74,136.65,278302,3819439392.0,3.24
2022-06-22,137.0,138.86,135.38,135.6,195790,2681028560.0,2.28
2022-06-23,135.8,137.9,132.01,137.65,232975,3161915024.0,2.71
2022-06-24,137.66,138.23,134.7,136.51,190432,2593917120.0,2.22
2022-06-27,137.2,150.16,137.2,149.19,551322,8103325696.0,6.4
2022-06-28,149.1,150.6,146.7,150.0,342795,5098759680.0,3.98
2022-06-29,149.47,149.5,143.03,143.15,284924,4167274544.0,3.31
2022-06-30,144.18,149.03,144.0,148.7,248347,3660224928.0,2.88
2022-07-01,147.24,158.16,147.0,156.97,407118,6267573504.0,4.72
2022-07-04,104.0,111.75,104.0,110.33,1082888,11718851072.0,8.98
2022-07-05,110.36,113.34,106.29,109.85,801358,8757530880.0,6.64
2022-07-06,108.28,116.86,107.12,114.01,775737,8726864896.0,6.43
2022-07-07,113.03,113.8,110.15,112.97,530618,5942623744.0,4.4
2022-07-08,114.5,115.5,108.0,108.48,616226,6832672512.0,5.11
2022-07-11,107.0,107.0,99.13,101.19,653775,6629647104.0,5.42
2022-07-12,102.1,103.98,98.5,100.48,515151,5215241849.57,4.27
