date,open,high,low,close,volume,amount
2022-05-16,91.0,92.1,88.75,88.75,12712682.0,1144482261.0
2022-05-17,88.46,95.8,88.21,94.39,18553735.0,1723806983.0
2022-05-18,94.38,96.17,93.6,95.62,13464788.0,1277245266.0
2022-05-19,93.99,97.38,92.01,95.92,14597810.999999998,1384917780.0
2022-05-20,96.6,98.14,93.71,95.3,11060165.0,1057417191.0000001
2022-05-23,96.29,101.59,96.21,99.9,17652686.0,1742882233.0
2022-05-24,98.9,109.89,98.21,106.8,34524198.0,3695157629.0
2022-05-25,108.89,109.8,102.08,104.78,26148451.0,2762501292.0
2022-05-26,106.61,108.0,102.81,105.74,17633612.0,1860495713.0
2022-05-27,108.01,108.99,98.95,100.89,24737104.0,2548731014.0
2022-05-30,101.89,102.58,97.8,101.45,17116272.0,1717446881.0
2022-05-31,100.01,101.33,96.41,100.55,15160576.999999998,1501888005.0
2022-06-01,70.2,71.6,67.59,70.35,23631470.0,1647835092.0
2022-06-02,69.97,72.26,68.53,69.96,22228911.0,1564794834.0
2022-06-06,70.26,76.96,70.26,76.96,19363200.0,1453570609.0
2022-06-07,81.0,84.48,80.53,83.59,39871976.0,3288890813.0
2022-06-08,84.44,85.99,82.0,83.8,31646838.0,2655871148.0
2022-06-09,83.0,87.5,82.32,83.78,23765542.0,2011643247.0
2022-06-10,83.28,84.61,82.12,84.19,24062144.0,2009089389.0
2022-06-13,83.07,87.73,83.0,84.33,32778926.0,2779280654.0
2022-06-14,82.0,83.3,79.5,81.86,25040746.0,2040467237.0
2022-06-15,82.33,83.52,80.24,81.32,21762377.0,1782026569.0
2022-06-16,81.0,82.73,79.66,81.51,16951535.0,1376170355.0
2022-06-17,80.16,85.81,80.16,83.65,25111679.0,2095114005.0
2022-06-20,84.9,86.5,82.85,84.1,21420244.0,1816026336.0
2022-06-21,83.1,83.5,77.62,79.16,26895752.0,2145891900.0
2022-06-22,79.68,83.57,79.1,81.04,22579550.0,1844254849.0
2022-06-23,81.0,82.78,77.88,82.16,22930295.0,1846707743.0
2022-06-24,81.02,82.08,79.55,81.13,15353170.000000002,1243209919.0
2022-06-27,81.31,89.24,80.48,89.24,22040798.0,1902332771.0
2022-06-28,90.78,92.7,86.68,90.92,36536661.0,3280950196.0
2022-06-29,90.03,91.3,86.6,86.6,20986378.0,1858644397.0
2022-06-30,87.38,94.97,87.38,92.61,25691941.0,2366032614.0
2022-07-01,93.16,98.97,91.92,97.6,25915538.0,2493011172.0
2022-07-04,96.67,103.82,96.67,101.75,28115351.0,2846282484.0
2022-07-05,100.86,103.31,99.55,100.77,18938396.0,1906457694.0
2022-07-06,99.88,104.44,99.23,100.75,17704264.0,1798009553.0
2022-07-07,100.08,104.36,100.08,102.53,14243957.999999998,1458483961.0
2022-07-08,103.99,104.53,99.6,99.72,15401125.0,1557255703.0
2022-07-11,98.51,99.66,89.75,92.87,31346470.0,2905330686.0
2022-07-12,93.27,95.83,89.58,92.83,21688522.0,2004535805.0
2022-07-13,91.52,95.96,89.88,94.47,22932475.0,2140660429.0
2022-07-14,93.87,94.0,88.58,91.88,24415321.0,2232227701.0
2022-07-15,88.63,95.49,88.13,91.4,25481669.0,2351795087.0
2022-07-18,93.01,93.25,87.01,88.9,22978809.0,2043784074.0
2022-07-19,88.42,90.69,87.12,89.28,16200676.0,1449017819.0
2022-07-20,90.61,97.5,90.61,93.89,27494671.000000004,2592338270.0
2022-07-21,94.82,95.06,87.65,87.7,26873270.0,2430517532.0
2022-07-22,89.12,90.44,86.56,88.22,19466319.0,1720478773.0
2022-07-25,87.71,90.4,87.11,88.01,14559748.000000002,1294965216.0
2022-07-26,89.3,96.81,89.3,93.22,39812890.0,3756801588.0
2022-07-27,93.58,94.57,89.3,93.0,24174647.0,2228232866.0
2022-07-28,94.1,94.84,89.6,89.86,23931124.0,2171201671.0
2022-07-29,89.41,90.36,88.21,89.57,14251931.0,1273017229.0
2022-08-01,88.1,90.38,84.5,89.75,21786204.0,1906198387.0
2022-08-02,87.0,87.89,84.11,84.43,20008433.0,1712591954.0
2022-08-03,86.0,89.75,83.5,84.75,17899533.0,1547834740.0
2022-08-04,85.23,89.9,85.23,87.66,21595365.0,1896785214.0
2022-08-05,87.97,91.12,85.0,90.42,27471827.0,2420089485.0
