date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2021-05-14,57.0,57.75,56.58,57.74,44842349.0,2562656960.0,,,,,,,,,,,,,,,
2021-05-21,57.75,58.8,57.21,57.5,140510288.0,8136509022.0,,,,,,,,,,,,,,,
2021-05-28,57.23,59.27,54.7,56.99,356625554.0,20202679794.0,,,,,,,,,,,,,,,
2021-06-04,57.06,57.21,55.56,55.98,191790435.0,10758924268.0,,,,,,,,,,,,,,183442156.5,1.0455090512414469
2021-06-11,55.93,55.93,54.35,54.62,181739166.0,10019259121.0,,,,,,,,,,,56.565999999999995,,,217666360.75,0.8349437431387753
2021-06-18,54.65,55.97,53.67,53.68,157133686.0,8589363132.0,,,,,,,,,,,55.754,,,221822210.25,0.7083767032296082
2021-06-25,52.48,52.56,49.5,52.23,401144464.0,20462580526.0,,,,,,,,,,,54.7,,,232951937.75,1.7220052680158484
2021-07-02,53.9,54.46,50.35,50.99,212201173.0,11003029922.0,,,,,,,,,,,53.5,,,238054622.25,0.8913969869366819
2021-07-09,51.0,51.2,48.2,49.3,217495096.0,10797106395.0,,,,,,,,,,,52.164,,,246993604.75,0.8805697468164913
2021-07-16,49.7,50.16,48.5,49.99,202272952.0,9988568283.0,,,,,,,,,,,51.238,53.902,,258278421.25,0.7831585427115894
2021-07-23,50.3,51.94,48.98,49.02,252691698.0,12745259295.0,,,,,,,,,,,50.306,53.029999999999994,,221165229.75,1.1425471277091648
2021-07-30,48.8,48.83,46.16,47.5,271547342.0,12908472060.0,,,,,,,,,,,49.36,52.029999999999994,,236001772.0,1.1506156911398107
2021-08-06,47.13,49.9,46.6,47.74,226035694.0,10927263429.0,,,,,,,,,,,48.71,51.105,,238136921.5,0.9491837409177224
2021-08-13,47.5,49.23,46.17,46.52,231352407.0,11035341296.0,,,,,,,,,,,48.154,50.15899999999999,,245406785.25,0.9427302784815726
2021-08-20,46.85,48.2,45.45,46.1,242603667.0,11408899832.0,6.888888888888934,,,,,,,,,,47.376,49.306999999999995,,242884777.5,0.9988426178746422
2021-08-27,44.0,45.98,42.78,42.83,282297970.0,12467173959.0,5.463665943600902,,,,,,,,,,46.138,48.221999999999994,,245572434.5,1.1495507245134224
2021-09-03,42.85,42.96,40.16,40.59,425027202.0,17406051897.0,4.740204121024981,,,,,,,,,,44.756,47.05799999999999,,295320311.5,1.4392074823475187
