日期,交易类型,股票代码,交易股票数量,交易后持仓数量,交易价格,交易金额,手续费,交易原因,收盘价,EMA20,EMA60,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,趋势过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因
2022/11/04,买入,600900,1700,0,17.52,29784.0,39.31,现金买入,17.52,20.02,19.59,17.67,-0.2213,0.2294,-0.4507,22.64,20.5,18.37,4302023,1.43,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度
2022/11/11,买入,600900,1500,0,17.83,26745.0,35.3,现金买入,17.83,19.81,19.52,22.47,-0.3603,0.1115,-0.4718,22.83,20.39,17.94,3366597,1.04,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度
2023/12/01,卖出,600985,1200,0,14.42,17304.0,40.15,转现金,14.42,12.02,11.32,92.65,0.7844,0.4771,0.3073,14.13,11.6,9.07,1322435,1.42,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度
2024/02/02,买入,002738,900,0,28.03,25227.0,32.8,现金买入,28.03,36.23,41.07,38.66,-2.5109,-2.7308,0.2199,39.45,35.16,30.88,1293280,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度
2024/02/08,买入,002738,700,0,30.09,21063.0,27.38,现金买入,30.09,35.65,40.64,42.07,-2.7068,-2.726,0.0192,39.67,34.86,30.05,1120390,0.85,轨道之间,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度
2024/02/23,卖出,600985,1100,0,17.84,19624.0,45.53,转现金,17.84,14.56,12.87,79.14,1.3973,1.164,0.2332,17.69,14.3,10.91,1631865,1.55,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度
2024/08/02,卖出,600900,900,0,29.3,26370.0,61.18,转现金,29.3,26.18,23.81,85.24,1.7775,1.4166,0.361,30.12,25.61,21.1,3565387,0.85,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度
2025/02/21,买入,601088,700,0,33.12,23184.0,30.6,现金买入,33.12,37.42,36.26,33.88,-0.4964,0.1398,-0.6362,41.69,38.11,34.53,2593196,2.04,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度
2025/02/28,买入,601088,700,0,33.19,23233.0,30.67,现金买入,33.19,37.02,36.14,34.99,-0.7596,-0.0401,-0.7195,41.8,37.76,33.72,2442787,1.35,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度
2025/04/11,买入,600985,1800,0,11.51,20718.0,27.35,现金买入,11.51,13.02,13.66,35.38,-0.5448,-0.4957,-0.0491,14.11,12.95,11.8,1072976,1.22,下轨之下,✓,✓,✓,✓,4/4,买入信号：趋势过滤器+2个买入维度
2025/04/25,买入,600985,1600,0,11.41,18256.0,24.1,现金买入,11.41,12.76,13.5,30.34,-0.6236,-0.5341,-0.0896,13.91,12.72,11.52,799658,1.06,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度
