日期,交易类型,股票代码,交易股票数量,交易后持仓数量,交易价格,交易金额,手续费,交易原因,收盘价,EMA20,EMA60,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,趋势过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2022/03/18,买入,603345,1100,7800,104.69,115159.0,140.49,现金买入,104.69,104.69,104.69,50.0,104.69,104.69,104.69,115.16,104.69,94.22,130132,0.97,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/03/25,买入,603345,1000,8800,102.32,102320.0,124.83,现金买入,102.32,102.32,102.32,50.0,102.32,102.32,102.32,112.55,102.32,92.09,98097,0.81,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/08,买入,603345,1000,9800,96.22,96220.0,117.39,现金买入,96.22,96.22,96.22,50.0,96.22,96.22,96.22,105.84,96.22,86.6,66938,0.66,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/15,卖出,601898,4800,43200,8.45,40560.0,90.04,转现金,8.45,8.45,8.45,50.0,8.45,8.45,8.45,9.29,8.45,7.6,6529062,2.0,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2022/08/26,卖出,601225,30100,271200,17.8,535780.0,1189.43,转现金,17.8,17.8,17.8,50.0,17.8,17.8,17.8,19.58,17.8,16.02,3658039,1.59,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2022/11/04,买入,600900,8400,107000,17.52,147168.0,179.54,现金买入,17.52,20.02,19.59,17.67,-0.2213,0.2294,-0.4507,22.64,20.5,18.37,4302023,1.43,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,电力,70,35
2022/11/11,买入,600900,7400,114400,17.83,131942.0,160.97,现金买入,17.83,19.81,19.52,22.47,-0.3603,0.1115,-0.4718,22.83,20.39,17.94,3366597,1.04,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,电力,70,35
2023/09/08,买入,002460,2600,16500,45.7,118820.0,142.58,现金买入,45.7,86.93,86.96,50.0,-0.0417,-0.0232,-0.0185,50.27,45.7,41.13,810628,1.02,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2023/11/03,买入,002460,2500,19000,42.11,105275.0,126.33,现金买入,42.11,86.93,86.96,50.0,-0.0417,-0.0232,-0.0185,46.32,42.11,37.9,1348953,0.88,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2023/12/01,买入,002460,2500,21500,37.83,94575.0,113.49,现金买入,37.83,86.93,86.96,50.0,-0.0417,-0.0232,-0.0185,41.61,37.83,34.05,1151295,0.87,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2024/01/26,卖出,601898,4300,38900,11.36,48848.0,108.44,转现金,11.36,11.36,11.36,50.0,11.36,11.36,11.36,12.5,11.36,10.22,2715826,1.39,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2024/01/26,买入,603345,1200,11000,76.4,91680.0,111.85,现金买入,76.4,76.4,76.4,50.0,76.4,76.4,76.4,84.04,76.4,68.76,519030,2.18,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2024/02/02,买入,002738,2900,191700,28.03,81287.0,97.54,现金买入,28.03,36.23,41.07,38.66,-2.5109,-2.7308,0.2199,39.45,35.16,30.88,1293280,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
