日期,交易类型,股票代码,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,EMA20,EMA60,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,趋势过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2022/03/18,买入,603345,100,6800,104.69,126.00,83.1,低估,当前价格低估16.9%，但未达到安全边际要求,10469.0,15.68,现金买入,104.69,141.14,163.05,29.31,-19.2291,-14.7017,-4.5274,210.22,150.67,91.13,130132,0.97,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/03/25,买入,603345,100,6900,102.32,126.00,81.2,低估,当前价格低估18.8%，但未达到安全边际要求,10232.0,15.44,现金买入,102.32,137.44,160.46,28.67,-19.8772,-15.7368,-4.1404,205.49,146.04,86.59,98097,0.81,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/08,买入,603345,100,7000,96.22,126.00,76.4,低估,当前价格低估23.6%，但未达到安全边际要求,9622.0,14.81,现金买入,96.22,130.68,155.47,27.84,-20.4877,-17.3645,-3.1232,199.12,138.31,77.51,66938,0.66,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/15,卖出,601898,9600,86500,8.45,20.00,42.2,低估,当前价格低估57.8%，符合安全边际要求,81120.0,180.09,转现金,8.45,5.98,5.71,70.41,0.3678,0.0684,0.2994,7.4,5.56,3.72,6529062,2.0,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2022/08/26,卖出,601225,30100,271200,17.8,40.00,44.5,低估,当前价格低估55.5%，符合安全边际要求,535780.0,1189.43,转现金,17.8,13.68,10.99,71.36,1.9007,1.7378,0.1629,17.84,13.59,9.33,3658039,1.59,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2023/09/08,买入,002460,1500,15400,45.7,50.00,91.4,低估,当前价格低估8.6%，但未达到安全边际要求,68550.0,82.26,现金买入,45.7,56.66,65.91,25.74,-5.6893,-4.6626,-1.0266,69.85,57.68,45.51,810628,1.02,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2023/11/03,买入,002460,1500,16900,42.11,50.00,84.2,低估,当前价格低估15.8%，但未达到安全边际要求,63165.0,75.8,现金买入,42.11,50.4,60.62,26.89,-5.8246,-5.6644,-0.1603,65.85,51.37,36.9,1348953,0.88,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2023/12/01,买入,002460,1500,18400,37.83,50.00,75.7,低估,当前价格低估24.3%，但未达到安全边际要求,56745.0,68.09,现金买入,37.83,47.35,57.76,24.89,-5.6668,-5.6117,-0.0551,60.46,47.58,34.7,1151295,0.87,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,未知,70,30
2024/01/26,卖出,601898,8600,77900,11.36,20.00,56.8,低估,当前价格低估43.2%，符合安全边际要求,97696.0,216.89,转现金,11.36,8.85,8.2,84.57,0.6744,0.4086,0.2658,10.5,8.58,6.66,2715826,1.39,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,未知,70,30
2024/01/26,买入,603345,800,7800,76.4,126.00,60.6,低估,当前价格低估39.4%，符合安全边际要求,61120.0,74.57,现金买入,76.4,105.64,123.23,25.14,-13.4314,-11.562,-1.8694,136.64,107.32,77.99,519030,2.18,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
