日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2021/12/10,卖出,中矿资源(002738),8800,35300,75.77,50.00,151.5,高估,当前价格高估51.5%，存在估值风险,666776.0,1466.91,转现金,75.77,68.2,6.0661,5.678,0.3881,72.77,60.81,48.85,961250,1.33,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2023/12/01,卖出,淮北矿业(600985),24800,99600,16.17,20.00,80.8,低估,当前价格低估19.2%，但未达到安全边际要求,401016.0,890.26,转现金,16.17,75.28,0.6451,0.2989,0.3462,15.82,13.35,10.89,1322435,1.42,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/01/26,卖出,淮北矿业(600985),19900,79700,17.57,20.00,87.8,低估,当前价格低估12.2%，但未达到安全边际要求,349643.0,776.21,转现金,17.57,70.44,1.1338,0.92,0.2139,18.38,15.25,12.12,724885,0.82,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/01/26,买入,安井食品(603345),19700,19700,81.5,126.00,64.7,低估,当前价格低估35.3%，符合安全边际要求,1605550.0,1958.77,现金买入,81.5,25.02,-13.6864,-11.8602,-1.8262,141.49,112.57,83.64,519030,2.18,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/02,买入,中矿资源(002738),7600,45780,29.52,50.00,59.0,低估,当前价格低估41.0%，符合安全边际要求,224352.0,269.22,持仓增持,29.52,31.14,-4.0058,-4.8076,0.8017,40.83,36.65,32.48,1293280,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/02,买入,赣锋锂业(002460),37500,37500,33.16,50.00,66.3,低估,当前价格低估33.7%，符合安全边际要求,1243500.0,1492.2,现金买入,33.16,27.39,-4.6746,-4.9264,0.2518,48.82,42.57,36.31,1372362,0.86,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+3个买入维度,未知,70,30
2024/02/02,买入,安井食品(603345),3900,23600,71.99,126.00,57.1,低估,当前价格低估42.9%，符合安全边际要求,280761.0,342.53,持仓增持,71.99,22.06,-15.097,-12.5076,-2.5894,142.16,109.6,77.04,311577,1.11,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/08,买入,中矿资源(002738),9100,54880,31.58,50.00,63.2,低估,当前价格低估36.8%，符合安全边际要求,287378.0,344.85,持仓增持,31.58,35.57,-4.0961,-4.6653,0.5692,41.04,36.35,31.66,1120390,0.85,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/08,买入,赣锋锂业(002460),7500,45000,34.87,50.00,69.7,低估,当前价格低估30.3%，符合安全边际要求,261525.0,313.83,持仓增持,34.87,31.51,-4.814,-4.904,0.0899,48.97,42.03,35.1,1139750,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/23,卖出,淮北矿业(600985),15900,63800,19.59,20.00,98.0,低估,当前价格低估2.0%，但未达到安全边际要求,311481.0,691.49,转现金,19.59,77.59,1.3332,1.0746,0.2585,19.35,16.05,12.75,1631865,1.55,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/03/08,卖出,中国神华(601088),16100,64400,39.75,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,639975.0,1420.74,转现金,39.75,75.71,2.394,1.6428,0.7512,40.06,33.44,26.82,1797260,0.98,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/06/28,卖出,中国神华(601088),12800,51600,44.37,45.00,98.6,低估,当前价格低估1.4%，但未达到安全边际要求,567936.0,1260.82,转现金,44.37,70.82,2.6661,2.4825,0.1836,44.99,40.62,36.26,1041641,0.89,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/09/13,买入,人福医药(600079),80700,80700,16.13,28.00,57.6,低估,当前价格低估42.4%，符合安全边际要求,1301691.0,1588.06,现金买入,16.13,34.22,-0.64,-0.6949,0.0549,21.43,18.93,16.43,1253099,1.52,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
