日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2021/05/28,卖出,中矿资源(002738),8800,35300,40.33,50.00,80.7,低估,当前价格低估19.3%，但未达到安全边际要求,354904.0,780.79,转现金,40.33,72.42,3.2193,2.1251,1.0942,38.04,28.68,19.33,1157826,1.37,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/06/25,卖出,中矿资源(002738),7000,28300,40.64,50.00,81.3,低估,当前价格低估18.7%，但未达到安全边际要求,284480.0,625.86,转现金,40.64,68.47,4.7061,3.5226,1.1835,45.23,31.07,16.91,561265,0.85,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/07/09,卖出,中矿资源(002738),5600,22700,60.4,50.00,120.8,高估,当前价格高估20.8%，存在估值风险,338240.0,744.13,转现金,60.4,82.73,6.6718,4.4343,2.2375,53.65,33.61,13.58,927416,1.39,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/08/06,卖出,中矿资源(002738),4500,18200,55.8,50.00,111.6,高估,当前价格高估11.6%，存在估值风险,251100.0,552.42,转现金,55.8,68.15,8.7497,6.8871,1.8626,66.87,40.57,14.28,980966,0.99,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/08/13,卖出,中矿资源(002738),3600,14600,54.63,50.00,109.3,高估,当前价格高估9.3%，存在估值风险,196668.0,432.67,转现金,54.63,66.26,8.463,7.2023,1.2608,67.78,42.18,16.58,887633,0.92,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/08/20,卖出,中矿资源(002738),2900,11700,58.8,50.00,117.6,高估,当前价格高估17.6%，存在估值风险,170520.0,375.14,转现金,58.8,69.51,8.4746,7.4567,1.0179,68.97,43.96,18.95,965935,0.98,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/09/17,买入,人福医药(600079),66500,66500,19.55,28.00,69.8,低估,当前价格低估30.2%，符合安全边际要求,1300075.0,1586.09,现金买入,19.55,31.48,-2.2249,-1.7225,-0.5024,31.22,25.45,19.69,961711,1.33,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,化学制药,62.053,40.319,69.378,37.618
2021/12/03,卖出,中矿资源(002738),2300,9400,70.78,50.00,141.6,高估,当前价格高估41.6%，存在估值风险,162794.0,358.15,转现金,70.78,65.13,5.2611,5.5809,-0.3198,70.28,60.26,50.25,587746,0.93,上轨之上,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2021/12/10,卖出,中矿资源(002738),1800,7600,75.77,50.00,151.5,高估,当前价格高估51.5%，存在估值风险,136386.0,300.05,转现金,75.77,68.2,6.0661,5.678,0.3881,72.77,60.81,48.85,961250,1.33,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2022/02/25,卖出,中矿资源(002738),1500,6100,97.99,50.00,196.0,高估,当前价格高估96.0%，存在估值风险,146985.0,323.37,转现金,97.99,70.43,7.0661,4.6986,2.3675,87.31,64.74,42.17,1392453,1.3,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,小金属,59.581,37.448,63.784,35.003
2022/06/10,买入,人福医药(600079),13300,79800,15.56,28.00,55.6,低估,当前价格低估44.4%，符合安全边际要求,206948.0,252.48,持仓增持,15.56,35.38,-1.4311,-1.5979,0.1668,20.8,17.19,13.58,2102663,1.29,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,62.053,40.319,69.378,37.618
2023/05/19,买入,神火股份(000933),37600,226000,13.66,37.00,36.9,低估,当前价格低估63.1%，符合安全边际要求,513616.0,616.34,持仓增持,13.66,38.3,-0.1598,0.351,-0.5108,20.08,17.03,13.99,2132878,1.35,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/05/26,买入,神火股份(000933),45200,271200,13.17,37.00,35.6,低估,当前价格低估64.4%，符合安全边际要求,595284.0,714.34,持仓增持,13.17,36.85,-0.4078,0.1993,-0.6071,20.31,16.94,13.57,1277026,0.89,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/06/16,买入,淮北矿业(600985),24800,149200,11.78,20.00,58.9,低估,当前价格低估41.1%，符合安全边际要求,292144.0,356.42,持仓增持,11.78,34.99,-0.3408,-0.2018,-0.139,14.59,13.33,12.07,735714,0.96,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
2023/06/16,买入,神火股份(000933),54200,325400,13.8,37.00,37.3,低估,当前价格低估62.7%，符合安全边际要求,747960.0,897.55,持仓增持,13.8,40.45,-0.7221,-0.2193,-0.5028,20.54,16.57,12.61,2306184,1.16,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/06/21,买入,神火股份(000933),65000,390400,13.01,37.00,35.2,低估,当前价格低估64.8%，符合安全边际要求,845650.0,1014.78,持仓增持,13.01,37.64,-0.8343,-0.3423,-0.492,20.49,16.31,12.14,862738,0.46,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/06/30,买入,神火股份(000933),78000,468400,13.0,37.00,35.1,低估,当前价格低估64.9%，符合安全边际要求,1014000.0,1216.8,持仓增持,13.0,37.6,-0.9136,-0.4566,-0.457,20.5,16.11,11.71,1567946,0.87,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/12/01,卖出,淮北矿业(600985),29800,119400,16.17,20.00,80.8,低估,当前价格低估19.2%，但未达到安全边际要求,481866.0,1069.74,转现金,16.17,75.28,0.6451,0.2989,0.3462,15.82,13.35,10.89,1322435,1.42,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2023/12/08,买入,云铝股份(000807),39400,236700,11.8,25.00,47.2,低估,当前价格低估52.8%，符合安全边际要求,464920.0,557.9,持仓增持,11.8,37.05,-0.2243,0.0988,-0.3231,16.06,14.04,12.01,2548677,1.6,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2023/12/15,买入,云铝股份(000807),47300,284000,11.2,25.00,44.8,低估,当前价格低估55.2%，符合安全边际要求,529760.0,635.71,持仓增持,11.2,33.98,-0.3757,0.0039,-0.3796,16.29,13.93,11.57,2163755,1.25,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2024/01/12,买入,云铝股份(000807),56800,340800,11.64,25.00,46.6,低估,当前价格低估53.4%，符合安全边际要求,661152.0,793.38,持仓增持,11.64,39.58,-0.5407,-0.296,-0.2448,16.11,13.36,10.61,1559801,0.85,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2024/01/19,卖出,淮北矿业(600985),23800,95600,16.71,20.00,83.5,低估,当前价格低估16.5%，但未达到安全边际要求,397698.0,882.89,转现金,16.71,65.86,1.0976,0.8665,0.2311,18.19,14.98,11.78,944588,0.89,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/01/26,卖出,淮北矿业(600985),19100,76500,17.57,20.00,87.8,低估,当前价格低估12.2%，但未达到安全边际要求,335587.0,745.0,转现金,17.57,70.44,1.1338,0.92,0.2139,18.38,15.25,12.12,724885,0.82,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/01/26,买入,安井食品(603345),6600,6600,81.5,126.00,64.7,低估,当前价格低估35.3%，符合安全边际要求,537900.0,656.24,现金买入,81.5,25.02,-13.6864,-11.8602,-1.8262,141.49,112.57,83.64,519030,2.18,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,食品加工,55.128,33.298,55.532,32.902
2024/02/02,卖出,淮北矿业(600985),15300,61200,17.41,20.00,87.0,低估,当前价格低估13.0%，但未达到安全边际要求,266373.0,591.35,转现金,17.41,68.6,1.1366,0.9633,0.1733,18.49,15.5,12.51,777789,0.95,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/02/02,买入,中矿资源(002738),1300,7897,29.52,50.00,59.0,低估,当前价格低估41.0%，符合安全边际要求,38376.0,46.05,持仓增持,29.52,31.14,-4.0058,-4.8076,0.8017,40.83,36.65,32.48,1293280,0.89,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+3个买入维度,小金属,59.581,37.448,63.784,35.003
2024/02/02,买入,赣锋锂业(002460),14400,14400,33.16,50.00,66.3,低估,当前价格低估33.7%，符合安全边际要求,477504.0,573.0,现金买入,33.16,27.39,-4.6746,-4.9264,0.2518,48.82,42.57,36.31,1372362,0.86,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+3个买入维度,能源金属,59.06,30.265,66.036,25.335
2024/02/02,买入,人福医药(600079),15900,95700,18.76,28.00,67.0,低估,当前价格低估33.0%，符合安全边际要求,298284.0,363.91,持仓增持,18.76,30.6,-0.6558,-0.1491,-0.5067,27.17,23.71,20.25,945194,1.42,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,化学制药,62.053,40.319,69.378,37.618
2024/02/02,买入,安井食品(603345),1300,7900,71.99,126.00,57.1,低估,当前价格低估42.9%，符合安全边际要求,93587.0,114.18,持仓增持,71.99,22.06,-15.097,-12.5076,-2.5894,142.16,109.6,77.04,311577,1.11,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,食品加工,55.128,33.298,55.532,32.902
2024/02/08,买入,中矿资源(002738),1500,9397,31.58,50.00,63.2,低估,当前价格低估36.8%，符合安全边际要求,47370.0,56.84,持仓增持,31.58,35.57,-4.0961,-4.6653,0.5692,41.04,36.35,31.66,1120390,0.85,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,小金属,59.581,37.448,63.784,35.003
2024/02/08,买入,赣锋锂业(002460),2800,17200,34.87,50.00,69.7,低估,当前价格低估30.3%，符合安全边际要求,97636.0,117.16,持仓增持,34.87,31.51,-4.814,-4.904,0.0899,48.97,42.03,35.1,1139750,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,能源金属,59.06,30.265,66.036,25.335
2024/02/23,卖出,淮北矿业(600985),12200,49000,19.59,20.00,98.0,低估,当前价格低估2.0%，但未达到安全边际要求,238998.0,530.58,转现金,19.59,77.59,1.3332,1.0746,0.2585,19.35,16.05,12.75,1631865,1.55,上轨之上,✓,✓,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/03/08,卖出,中国神华(601088),16100,64400,39.75,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,639975.0,1420.74,转现金,39.75,75.71,2.394,1.6428,0.7512,40.06,33.44,26.82,1797260,0.98,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/03/08,卖出,淮北矿业(600985),9800,39200,18.51,20.00,92.5,低估,当前价格低估7.5%，但未达到安全边际要求,181398.0,402.7,转现金,18.51,66.62,1.3678,1.1838,0.184,19.88,16.55,13.22,1357015,1.03,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/03/15,卖出,中国神华(601088),12800,51600,37.31,45.00,82.9,低估,当前价格低估17.1%，但未达到安全边际要求,477568.0,1060.2,转现金,37.31,62.99,2.318,1.7779,0.5401,40.48,33.77,27.06,2204155,1.13,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/03/22,卖出,中国神华(601088),10300,41300,37.94,45.00,84.3,低估,当前价格低估15.7%，但未达到安全边际要求,390782.0,867.54,转现金,37.94,64.64,2.2823,1.8788,0.4035,40.9,34.15,27.4,1685222,0.88,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
