日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,RSI 极端信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2021/01/08,SELL,中远海控(601919),65400,261600,15.29,20.00,76.5,低估,当前价格低估23.5%，但未达到安全边际要求,999966.0,2219.92,减仓 20% (slight_undervalue_sell),15.29,88.09,2.0537,1.4068,0.647,13.51,8.09,2.66,10865635,1.35,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,航运港口,70.35,38.12,74.46,34.95
2021/07/09,SELL,中矿资源(002738),235300,58900,60.4,60.00,100.7,高估,当前价格高估0.7%，存在估值风险,14212120.0,31266.66,减仓 80% (slight_overvalue),60.4,82.68,6.6537,4.4074,2.2464,53.65,33.61,13.58,927416,1.39,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,68.09,33.4,75.19,31.0
2021/08/27,SELL,赣锋锂业(002460),40400,0,196.35,50.00,392.7,高估,当前价格高估292.7%，存在估值风险,7932540.0,17451.59,减仓 100% (extreme_overvalue),196.35,72.87,23.9213,18.8462,5.0751,210.24,140.68,71.12,1706562,0.91,轨道之间,✓,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,能源金属,66.06,25.33,72.56,22.83
2021/09/17,BUY,人福医药(600079),809500,809500,19.55,28.00,69.8,低估,当前价格低估30.2%，符合安全边际要求,15825725.0,19307.38,开仓 10%总资产 (obvious_undervalue),19.55,31.31,-2.2398,-1.745,-0.4948,31.22,25.45,19.69,961711,1.33,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2021/12/10,SELL,中矿资源(002738),58900,0,75.77,60.00,126.3,高估,当前价格高估26.3%，存在估值风险,4462853.0,9818.28,减仓 100% (extreme_overvalue),75.77,68.19,6.0628,5.6731,0.3897,72.77,60.81,48.85,961250,1.33,上轨之上,✓,✓,✗,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,68.09,33.4,75.19,31.0
2022/09/30,BUY,中远海控(601919),134700,404148,11.02,20.00,55.1,低估,当前价格低估44.9%，符合安全边际要求,1484394.0,1810.96,加仓 50%持仓价值 (extreme_undervalue),11.02,29.57,-1.0065,-0.84,-0.1665,15.96,13.81,11.67,4902918,1.1,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,航运港口,70.35,38.12,74.46,34.95
2022/10/28,BUY,长江电力(600900),258500,775500,20.68,39.00,53.0,低估,当前价格低估47.0%，符合安全边际要求,5345780.0,6521.85,加仓 50%持仓价值 (extreme_undervalue),20.68,30.74,-0.2071,0.144,-0.3512,25.18,23.52,21.86,3304153,1.28,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,电力,64.42,37.37,69.22,32.22
2022/10/28,BUY,中远海控(601919),202000,606148,11.25,20.00,56.2,低估,当前价格低估43.8%，符合安全边际要求,2272500.0,2772.45,加仓 50%持仓价值 (extreme_undervalue),11.25,32.21,-1.1194,-0.9653,-0.1541,15.67,13.25,10.82,4268322,0.88,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,航运港口,70.35,38.12,74.46,34.95
2022/11/04,BUY,长江电力(600900),329300,1104800,20.14,39.00,51.6,低估,当前价格低估48.4%，符合安全边际要求,6632102.0,8091.16,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入329300股),20.14,28.29,-0.4111,0.033,-0.4441,25.53,23.33,21.12,4302023,1.43,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,电力,64.42,37.37,69.22,32.22
2022/11/11,BUY,长江电力(600900),14600,1119400,20.45,39.00,52.4,低估,当前价格低估47.6%，符合安全边际要求,298570.0,364.26,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入14600股),20.45,31.65,-0.5415,-0.0819,-0.4596,25.7,23.17,20.64,3366597,1.04,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,电力,64.42,37.37,69.22,32.22
2023/06/21,BUY,神火股份(000933),506600,1762800,13.01,37.00,35.2,低估,当前价格低估64.8%，符合安全边际要求,6590866.0,7909.04,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入506600股),13.01,37.64,-0.8343,-0.3423,-0.492,20.49,16.31,12.14,862738,0.46,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2023/06/30,BUY,神火股份(000933),39600,1802400,13.0,37.00,35.1,低估,当前价格低估64.9%，符合安全边际要求,514800.0,617.76,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入39600股),13.0,37.6,-0.9136,-0.4566,-0.457,20.5,16.11,11.71,1567946,0.87,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2023/06/30,BUY,中远海控(601919),303000,909148,9.4,20.00,47.0,低估,当前价格低估53.0%，符合安全边际要求,2848200.0,3474.8,加仓 50%持仓价值 (extreme_undervalue),9.4,32.31,-0.3747,-0.3313,-0.0434,11.72,10.88,10.04,2978264,1.47,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,航运港口,70.35,38.12,74.46,34.95
2023/08/04,BUY,中矿资源(002738),184200,184200,43.64,60.00,72.7,低估,当前价格低估27.3%，但未达到安全边际要求,8038488.0,9646.19,开仓 5%总资产 (slight_undervalue),43.64,27.4,-8.5207,-6.6346,-1.8862,87.29,62.75,38.21,845797,1.2,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/11,BUY,中矿资源(002738),18400,202600,42.59,60.00,71.0,低估,当前价格低估29.0%，但未达到安全边际要求,783656.0,940.39,加仓 10%持仓价值 (slight_undervalue),42.59,26.75,-8.8096,-7.0696,-1.74,87.21,61.4,35.58,409022,0.62,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/18,BUY,中矿资源(002738),40500,243100,40.36,60.00,67.3,低估,当前价格低估32.7%，符合安全边际要求,1634580.0,1961.5,加仓 20%持仓价值 (obvious_undervalue),40.36,25.37,-9.1134,-7.4783,-1.635,86.92,59.9,32.87,383052,0.65,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/25,BUY,中矿资源(002738),48600,291700,37.26,60.00,62.1,低估,当前价格低估37.9%，符合安全边际要求,1810836.0,2173.0,加仓 20%持仓价值 (obvious_undervalue),37.26,23.54,-9.4948,-7.8816,-1.6132,86.91,58.4,29.89,586792,1.06,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/01,BUY,中矿资源(002738),58300,350000,37.23,60.00,62.0,低估,当前价格低估38.0%，符合安全边际要求,2170509.0,2604.61,加仓 20%持仓价值 (obvious_undervalue),37.23,23.53,-9.6879,-8.2429,-1.445,85.22,56.47,27.72,637714,1.26,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/08,BUY,中矿资源(002738),70000,420000,38.44,60.00,64.1,低估,当前价格低估35.9%，符合安全边际要求,2690800.0,3228.96,加仓 20%持仓价值 (obvious_undervalue),38.44,25.93,-9.6322,-8.5207,-1.1114,83.21,54.67,26.13,1034634,1.57,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/15,BUY,中矿资源(002738),61700,481700,37.69,60.00,62.8,低估,当前价格低估37.2%，符合安全边际要求,2325473.0,2790.57,现金不足，加仓80%现金 (obvious_undervalue),37.69,25.4,-9.5386,-8.7243,-0.8143,80.44,52.75,25.07,733465,0.98,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/22,BUY,中矿资源(002738),12300,494000,37.55,60.00,62.6,低估,当前价格低估37.4%，符合安全边际要求,461865.0,554.24,现金不足，加仓80%现金 (obvious_undervalue),37.55,25.29,-9.3678,-8.853,-0.5148,77.18,50.85,24.52,623995,0.82,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
