日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2021-05-21,600985,淮北矿业(600985),分红,2021-05-21,0.650,0.0,0.0,0.0,0.00,124400,124400,80860.00,每股分红0.650元
2021-06-18,601898,中煤能源(601898),分红,2021-06-18,0.134,0.0,0.0,0.0,0.00,316400,316400,42397.60,每股分红0.134元
2021-06-25,002738,中矿资源(002738),分红,2021-06-25,0.050,0.0,0.0,0.0,0.00,35300,35300,1765.00,每股分红0.050元
2021-06-25,000933,神火股份(000933),分红,2021-06-25,0.100,0.0,0.0,0.0,0.00,188400,188400,18840.00,每股分红0.100元
2021-07-09,601225,陕西煤业(601225),分红,2021-07-09,0.800,0.0,0.0,0.0,0.00,146400,146400,117120.00,每股分红0.800元
2021-07-16,601088,中国神华(601088),分红,2021-07-16,1.810,0.0,0.0,0.0,0.00,80500,80500,145705.00,每股分红1.810元
2022-05-20,000933,神火股份(000933),分红,2022-05-20,0.450,0.0,0.0,0.0,0.00,188400,188400,84780.00,每股分红0.450元
2022-06-02,002738,中矿资源(002738),分红+转增,2022-06-02,0.100,0.0,0.4,0.0,0.00,22700,23608,2270.00,每股分红0.100元; 10转0.4股
2022-06-10,600985,淮北矿业(600985),分红,2022-06-10,0.700,0.0,0.0,0.0,0.00,124400,124400,87080.00,每股分红0.700元
2022-06-24,000807,云铝股份(000807),分红,2022-06-24,0.113,0.0,0.0,0.0,0.00,197300,197300,22294.90,每股分红0.113元
2022-07-08,601225,陕西煤业(601225),分红,2022-07-08,1.350,0.0,0.0,0.0,0.00,146400,146400,197640.00,每股分红1.350元
2022-07-15,601088,中国神华(601088),分红,2022-07-15,2.540,0.0,0.0,0.0,0.00,80500,80500,204470.00,每股分红2.540元
2022-07-29,600079,人福医药(600079),分红,2022-07-29,0.150,0.0,0.0,0.0,0.00,69700,69700,10455.00,每股分红0.150元
2022-07-29,601898,中煤能源(601898),分红,2022-07-29,0.301,0.0,0.0,0.0,0.00,316400,316400,95236.40,每股分红0.301元
2023-05-19,000933,神火股份(000933),分红,2023-05-19,1.000,0.0,0.0,0.0,0.00,188400,188400,188400.00,每股分红1.000元
2023-06-02,002738,中矿资源(002738),分红+转增,2023-06-02,1.000,0.0,0.4,0.0,0.00,23608,24552,23608.00,每股分红1.000元; 10转0.4股
2023-06-09,600985,淮北矿业(600985),分红,2023-06-09,1.050,0.0,0.0,0.0,0.00,124400,124400,130620.00,每股分红1.050元
2023-06-16,600079,人福医药(600079),分红,2023-06-16,0.160,0.0,0.0,0.0,0.00,69700,69700,11152.00,每股分红0.160元
2023-06-30,000807,云铝股份(000807),分红,2023-06-30,0.160,0.0,0.0,0.0,0.00,197300,197300,31568.00,每股分红0.160元
2023-07-07,601088,中国神华(601088),分红,2023-07-07,2.550,0.0,0.0,0.0,0.00,80500,80500,205275.00,每股分红2.550元
