date,cash,holdings,total_value,stock_values,cumulative_return,running_max,drawdown
2022-01-07,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",996257.0,"{'600900': np.float64(198538.0), '601088': np.float64(199950.0), '600985': np.float64(199294.0), '600079': np.float64(198475.0)}",1.0,1.0,0.0
2022-01-14,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",999297.0,"{'600900': np.float64(201612.0), '601088': np.float64(200105.0), '600985': np.float64(205819.99999999997), '600079': np.float64(191760.0)}",1.0030514214705644,1.0030514214705644,0.0
2022-01-21,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1032255.0,"{'600900': np.float64(207230.0), '601088': np.float64(223200.0), '600985': np.float64(222135.0), '600079': np.float64(179690.0)}",1.0361332467425575,1.0361332467425575,0.0
2022-01-28,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",949799.0,"{'600900': np.float64(195993.99999999997), '601088': np.float64(200415.0), '600985': np.float64(194525.0), '600079': np.float64(158865.0)}",0.9533674543817509,1.0361332467425575,-0.07987948714222756
2022-02-04,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",949799.0,"{'600900': np.float64(195993.99999999997), '601088': np.float64(200415.0), '600985': np.float64(194525.0), '600079': np.float64(158865.0)}",0.9533674543817509,1.0361332467425575,-0.07987948714222756
2022-02-11,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1057227.0,"{'600900': np.float64(215286.0), '601088': np.float64(255750.0), '600985': np.float64(232426.0), '600079': np.float64(153765.0)}",1.061199068111943,1.061199068111943,0.0
2022-02-18,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1059666.0,"{'600900': np.float64(209880.0), '601088': np.float64(250790.0), '600985': np.float64(244976.0), '600079': np.float64(154020.0)}",1.0636472315878334,1.0636472315878334,0.0
2022-02-25,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1023523.0,"{'600900': np.float64(204792.0), '601088': np.float64(231880.0), '600985': np.float64(233681.0), '600079': np.float64(153170.0)}",1.0273684400711864,1.0636472315878334,-0.0341079170229111
2022-03-04,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1099792.0,"{'600900': np.float64(217512.0), '601088': np.float64(272955.0), '600985': np.float64(263550.0), '600079': np.float64(145775.0)}",1.103923987485157,1.103923987485157,0.0
2022-03-11,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1075588.0,"{'600900': np.float64(203202.00000000003), '601088': np.float64(267995.0), '600985': np.float64(263801.0), '600079': np.float64(140590.0)}",1.0796290515399138,1.103923987485157,-0.022007797838136736
2022-03-18,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1034381.0,"{'600900': np.float64(194510.00000000003), '601088': np.float64(239010.0), '600985': np.float64(261291.0), '600079': np.float64(139570.0)}",1.038267234257827,1.103923987485157,-0.05947579178608328
2022-03-25,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1065506.0,"{'600900': np.float64(189528.0), '601088': np.float64(272335.0), '600985': np.float64(268068.0), '600079': np.float64(135575.0)}",1.0695091728339174,1.103923987485157,-0.031174985815499597
2022-04-01,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1156742.0,"{'600900': np.float64(199174.0), '601088': np.float64(308760.0), '600985': np.float64(319523.0), '600079': np.float64(129285.0)}",1.1610879522051036,1.1610879522051036,0.0
2022-04-08,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1178247.0,"{'600900': np.float64(209562.0), '601088': np.float64(324880.0), '600985': np.float64(318770.0), '600079': np.float64(125035.0)}",1.1826737478381582,1.1826737478381582,0.0
2022-04-15,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1177333.0,"{'600900': np.float64(211682.0), '601088': np.float64(332010.0), '600985': np.float64(316511.0), '600079': np.float64(117130.0)}",1.1817563138828635,1.1826737478381582,-0.0007757286884668295
2022-04-22,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1123530.0,"{'600900': np.float64(214756.00000000003), '601088': np.float64(311240.0), '600985': np.float64(283379.0), '600079': np.float64(114155.0)}",1.1277511726391884,1.1826737478381582,-0.04643932893527415
2022-04-29,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1124372.0,"{'600900': np.float64(204474.0), '601088': np.float64(328135.0), '600985': np.float64(266813.0), '600079': np.float64(124950.0)}",1.1285963360859699,1.1826737478381582,-0.04572470797718971
2022-05-06,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1118049.0,"{'600900': np.float64(204474.0), '601088': np.float64(319765.0), '600985': np.float64(261040.0), '600079': np.float64(132770.0)}",1.1222495801786085,1.1826737478381582,-0.05109115491064261
2022-05-13,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1129248.0,"{'600900': np.float64(209880.0), '601088': np.float64(328445.0), '600985': np.float64(255518.0), '600079': np.float64(135405.0)}",1.1334906555236248,1.1826737478381582,-0.041586356680729956
2022-05-20,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1176447.0,"{'600900': np.float64(210622.0), '601088': np.float64(352470.0), '600985': np.float64(277355.0), '600079': np.float64(136000.0)}",1.1808669851253242,1.1826737478381582,-0.0015276932595625862
2022-05-27,200000.0,"{'600900': 10600, '601088': 15500, '600985': 25100, '600079': 8500}",1240424.0,"{'600900': np.float64(215074.0), '601088': np.float64(385640.0), '600985': np.float64(303710.0), '600079': np.float64(136000.0)}",1.2450843507247629,1.2450843507247629,0.0
