日期,总资产,股票市值,现金,日收益率,累计收益率
2022-01-07,994618.0,0,0,0.0000,1.0000
2022-01-14,999079.0,0,0,0.0000,1.0045
2022-01-21,1018332.0,0,0,0.0000,1.0238
2022-01-28,1002131.0,0,0,0.0000,1.0076
2022-02-04,1002131.0,0,0,0.0000,1.0076
2022-02-11,1075284.0,0,0,0.0000,1.0811
2022-02-18,1085202.0,0,0,0.0000,1.0911
2022-02-25,1067210.0,0,0,0.0000,1.0730
2022-03-04,1107981.0,0,0,0.0000,1.1140
2022-03-11,1066711.0,0,0,0.0000,1.0725
2022-03-18,1028352.0,0,0,0.0000,1.0339
2022-03-25,1058785.0,0,0,0.0000,1.0645
2022-04-01,1105142.0,0,0,0.0000,1.1111
2022-04-08,1124038.0,0,0,0.0000,1.1301
2022-04-15,1118856.0,0,0,0.0000,1.1249
2022-04-22,1080612.0,0,0,0.0000,1.0865
2022-04-29,1101767.0,0,0,0.0000,1.1077
2022-05-06,1083057.0,0,0,0.0000,1.0889
2022-05-13,1104623.0,0,0,0.0000,1.1106
2022-05-20,1149300.0,0,0,0.0000,1.1555
2022-05-27,1183578.0,0,0,0.0000,1.1900
2022-06-03,1161280.0,0,0,0.0000,1.1676
2022-06-10,1210704.0,0,0,0.0000,1.2173
2022-06-17,1185083.0,0,0,0.0000,1.1915
2022-06-24,1155757.0,0,0,0.0000,1.1620
2022-07-01,1227751.0,0,0,0.0000,1.2344
2022-07-08,1224048.0,0,0,0.0000,1.2307
2022-07-15,1188516.0,0,0,0.0000,1.1949
2022-07-22,1158441.0,0,0,0.0000,1.1647
2022-07-29,1143073.0,0,0,0.0000,1.1493
2022-08-05,1136686.0,0,0,0.0000,1.1428
2022-08-12,1165501.0,0,0,0.0000,1.1718
2022-08-19,1164755.0,0,0,0.0000,1.1711
2022-08-26,1188619.0,0,0,0.0000,1.1951
2022-09-02,1168367.0,0,0,0.0000,1.1747
2022-09-09,1204046.0,0,0,0.0000,1.2106
2022-09-16,1158575.0,0,0,0.0000,1.1648
2022-09-23,1165513.0,0,0,0.0000,1.1718
2022-09-30,1154465.0,0,0,0.0000,1.1607
2022-10-07,1154465.0,0,0,0.0000,1.1607
2022-10-14,1160659.0,0,0,0.0000,1.1669
2022-10-21,1143669.0,0,0,0.0000,1.1499
