日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2025-02-21 00:00:00,601088,中国神华(601088),BUY,35.38,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,35.38,131100,0.0477,13100,144200,0.0524,45.0,0.79,满足,煤炭开采,34.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6697,-0.0982,-0.5715,绿色,连续缩短,无交叉,无,40.37,43.86,36.89,跌破下轨,2593196,1486930,1.74,是,买入,"[39.08, 40.0, 38.89, 38.13, 35.38]","[1467683, 294570, 825712, 1367696, 2593196]",数据长度137条,无,601088_20250221_BUY_1740096000
2025-02-21 00:00:00,601225,陕西煤业(601225),BUY,19.53,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,19.53,235900,0.0473,117900,353800,0.071,40.0,0.49,满足,煤炭开采,32.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.9826,-0.6069,-0.3757,绿色,连续缩短,无交叉,无,23.2,26.38,20.02,跌破下轨,2341009,1777713,1.32,是,买入,"[21.58, 21.75, 21.27, 21.19, 19.53]","[1644890, 215875, 1138486, 1454670, 2341009]",数据长度137条,无,601225_20250221_BUY_1740096000
2025-02-28 00:00:00,601225,陕西煤业(601225),BUY,18.95,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-28 00:00:00,18.95,353800,0.069,176900,530700,0.1035,40.0,0.47,满足,煤炭开采,30.19,34.31,69.3,31.73,77.83,极端信号,无背离信号,买入,-1.1528,-0.7161,-0.4368,绿色,连续缩短,无交叉,无,22.88,26.39,19.36,跌破下轨,2180007,1714395,1.27,否,买入,"[21.75, 21.27, 21.19, 19.53, 18.95]","[215875, 1138486, 1454670, 2341009, 2180007]",数据长度138条,无,601225_20250228_BUY_1740700800
2025-03-21 00:00:00,601898,中煤能源(601898),BUY,10.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-03-21 00:00:00,10.23,462500,0.0475,231200,693700,0.0712,39.0,0.26,满足,煤炭开采,34.07,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6493,-0.476,-0.1733,绿色,连续放大,无交叉,买入,11.55,13.49,9.62,区间内,1912858,1413786,1.35,否,无,"[10.37, 10.12, 10.03, 10.38, 10.23]","[1346110, 1931384, 1959782, 2112313, 1912858]",数据长度141条,无,601898_20250321_BUY_1742515200
2025-03-28 00:00:00,601898,中煤能源(601898),BUY,10.12,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-03-28 00:00:00,10.12,693700,0.0701,346800,1040500,0.1051,39.0,0.26,满足,煤炭开采,33.19,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6614,-0.5131,-0.1484,绿色,连续放大,无交叉,买入,11.41,13.35,9.48,区间内,2312252,1442331,1.6,否,无,"[10.12, 10.03, 10.38, 10.23, 10.12]","[1931384, 1959782, 2112313, 1912858, 2312252]",数据长度142条,无,601898_20250328_BUY_1743120000
2025-04-11 00:00:00,600985,淮北矿业(600985),BUY,12.26,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,12.26,372300,0.0481,186100,558400,0.0721,25.0,0.49,满足,煤炭开采,33.81,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.5763,-0.5409,-0.0354,绿色,连续缩短,DIF死叉DEA,无,13.7,14.83,12.58,跌破下轨,1072976,951413,1.13,否,买入,"[13.91, 13.69, 13.27, 13.26, 12.26]","[991247, 689690, 1146658, 607348, 1072976]",数据长度144条,无,600985_20250411_BUY_1744329600
2025-04-11 00:00:00,601898,中煤能源(601898),BUY,9.87,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,9.87,1040500,0.1082,59600,1100100,0.1144,39.0,0.25,满足,煤炭开采,33.14,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6601,-0.563,-0.0972,绿色,连续放大,无交叉,买入,11.15,13.0,9.3,区间内,2208357,1431561,1.54,否,无,"[10.38, 10.23, 10.12, 10.4, 9.87]","[2112313, 1912858, 2312252, 1227785, 2208357]",数据长度144条,无,601898_20250411_BUY_1744329600
2025-04-11 00:00:00,600690,海尔智家(600690),BUY,25.07,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,25.07,186000,0.0491,4600,190600,0.0504,40.0,0.63,满足,白色家电,36.18,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-0.4971,-0.2845,-0.2126,绿色,连续缩短,无交叉,无,27.38,29.33,25.43,跌破下轨,3568055,2075223,1.72,是,买入,"[27.3, 27.5, 27.16, 26.2, 25.07]","[3072691, 2421120, 2563094, 1986880, 3568055]",数据长度144条,无,600690_20250411_BUY_1744329600
2025-04-18 00:00:00,600690,海尔智家(600690),BUY,24.55,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-18 00:00:00,24.55,190600,0.0482,1000,191600,0.0484,40.0,0.61,满足,白色家电,33.99,39.39,73.16,34.98,77.81,极端信号,无背离信号,买入,-0.6394,-0.3555,-0.2839,绿色,连续缩短,无交叉,无,27.19,29.44,24.94,跌破下轨,2263381,2106863,1.07,否,买入,"[27.5, 27.16, 26.2, 25.07, 24.55]","[2421120, 2563094, 1986880, 3568055, 2263381]",数据长度145条,无,600690_20250418_BUY_1744934400
2025-04-30 00:00:00,600690,海尔智家(600690),BUY,24.79,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-30 00:00:00,24.79,191600,0.06,200,191800,0.0601,40.0,0.62,满足,白色家电,36.59,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-0.7688,-0.4943,-0.2745,绿色,连续放大,无交叉,买入,26.8,29.12,24.47,区间内,1003751,2050455,0.49,否,无,"[26.2, 25.07, 24.55, 25.02, 24.79]","[1986880, 3568055, 2263381, 1738913, 1003751]",数据长度147条,无,600690_20250430_BUY_1745971200
