日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2025-01-10 00:00:00,000543,皖能电力(000543),BUY,6.86,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-10 00:00:00,6.86,145700,0.01,29100,174800,0.012,10.0,0.69,满足,电力,34.58,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.155,-0.0847,-0.0703,绿色,连续缩短,无交叉,无,7.8,8.48,7.12,跌破下轨,1616998,1759104,0.92,否,买入,"[8.03, 7.99, 7.95, 7.57, 6.86]","[1859808, 1962257, 1522793, 988462, 1616998]",数据长度136条,无,000543_20250110_BUY_1736467200
2025-01-10 00:00:00,600795,国电电力(600795),BUY,4.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-10 00:00:00,4.23,236400,0.01,118200,354600,0.015,8.0,0.53,满足,电力,31.77,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2097,-0.1402,-0.0695,绿色,连续缩短,无交叉,无,4.86,5.48,4.24,跌破下轨,4342115,6134921,0.71,否,买入,"[4.67, 4.55, 4.66, 4.42, 4.23]","[4567318, 6891073, 5469752, 4171051, 4342115]",数据长度136条,无,600795_20250110_BUY_1736467200
2025-01-17 00:00:00,000543,皖能电力(000543),BUY,6.97,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-17 00:00:00,6.97,174800,0.0119,34900,209700,0.0143,10.0,0.7,满足,电力,36.68,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.2036,-0.1085,-0.0951,绿色,连续缩短,无交叉,无,7.72,8.41,7.03,跌破下轨,1396959,1784973,0.78,否,买入,"[7.99, 7.95, 7.57, 6.86, 6.97]","[1962257, 1522793, 988462, 1616998, 1396959]",数据长度137条,无,000543_20250117_BUY_1737072000
2025-02-07 00:00:00,600795,国电电力(600795),BUY,4.18,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-07 00:00:00,4.18,354600,0.0147,177300,531900,0.022,8.0,0.52,满足,电力,32.16,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2562,-0.2027,-0.0536,绿色,连续放大,无交叉,买入,4.69,5.41,3.96,区间内,3633004,5905347,0.62,否,无,"[4.23, 4.28, 4.18, 4.2, 4.18]","[4342115, 3461482, 5174125, 1327512, 3633004]",数据长度140条,无,600795_20250207_BUY_1738886400
2025-02-14 00:00:00,600795,国电电力(600795),BUY,4.11,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-14 00:00:00,4.11,531900,0.0218,265900,797800,0.0327,8.0,0.51,满足,电力,30.7,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2634,-0.2148,-0.0486,绿色,连续放大,无交叉,买入,4.64,5.38,3.9,区间内,5402057,5791479,0.93,是,无,"[4.28, 4.18, 4.2, 4.18, 4.11]","[3461482, 5174125, 1327512, 3633004, 5402057]",数据长度141条,无,600795_20250214_BUY_1739491200
2025-02-21 00:00:00,601088,中国神华(601088),BUY,35.38,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,35.38,127600,0.0462,12700,140300,0.0507,45.0,0.79,满足,煤炭开采,34.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6697,-0.0982,-0.5715,绿色,连续缩短,无交叉,无,40.37,43.86,36.89,跌破下轨,2593196,1486930,1.74,是,买入,"[39.08, 40.0, 38.89, 38.13, 35.38]","[1467683, 294570, 825712, 1367696, 2593196]",数据长度142条,无,601088_20250221_BUY_1740096000
2025-02-21 00:00:00,601225,陕西煤业(601225),BUY,19.53,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,19.53,225700,0.0451,112800,338500,0.0676,40.0,0.49,满足,煤炭开采,32.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.9826,-0.6069,-0.3757,绿色,连续缩短,无交叉,无,23.2,26.38,20.02,跌破下轨,2341010,1777713,1.32,是,买入,"[21.58, 21.75, 21.27, 21.19, 19.53]","[1644891, 215875, 1138486, 1454671, 2341010]",数据长度142条,无,601225_20250221_BUY_1740096000
2025-02-21 00:00:00,600795,国电电力(600795),BUY,4.2,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,4.2,797800,0.0343,398900,1196700,0.0514,8.0,0.53,满足,电力,34.8,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.2589,-0.2236,-0.0353,绿色,连续放大,无交叉,买入,4.57,5.23,3.92,区间内,9609872,6087016,1.58,是,无,"[4.18, 4.2, 4.18, 4.11, 4.2]","[5174125, 1327512, 3633004, 5402057, 9609872]",数据长度142条,无,600795_20250221_BUY_1740096000
2025-02-28 00:00:00,601225,陕西煤业(601225),BUY,18.95,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-28 00:00:00,18.95,338500,0.0657,169200,507700,0.0986,40.0,0.47,满足,煤炭开采,30.19,34.31,69.3,31.73,77.83,极端信号,无背离信号,买入,-1.1528,-0.7161,-0.4368,绿色,连续缩短,无交叉,无,22.88,26.39,19.36,跌破下轨,2180008,1714395,1.27,否,买入,"[21.75, 21.27, 21.19, 19.53, 18.95]","[215875, 1138486, 1454671, 2341010, 2180008]",数据长度143条,无,601225_20250228_BUY_1740700800
2025-02-28 00:00:00,600795,国电电力(600795),BUY,4.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-28 00:00:00,4.23,1196700,0.0519,598300,1795000,0.0778,8.0,0.53,满足,电力,36.16,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.25,-0.2289,-0.0211,绿色,连续放大,无交叉,买入,4.53,5.14,3.91,区间内,8376275,5980240,1.4,否,无,"[4.2, 4.18, 4.11, 4.2, 4.23]","[1327512, 3633004, 5402057, 9609872, 8376275]",数据长度143条,无,600795_20250228_BUY_1740700800
