行业代码,行业名称,layer,volatility,current_rsi,普通超卖,普通超买,极端超卖,极端超买,data_points,更新时间
801012,农产品加工,中波动,10.772,62.516,33.529,57.854,31.328,59.849,104,2025/8/8 21:12
801014,饲料,高波动,12.289,61.566,33.636,59.129,29.797,66.503,104,2025/8/8 21:12
801015,渔业,中波动,9.727,60.553,36.567,58.436,32.955,60.668,104,2025/8/8 21:12
801016,种植业,中波动,11.41,58.451,32.029,55.503,27.473,60.29,104,2025/8/8 21:12
801017,养殖业,低波动,8.201,59.34,38.465,55.277,35.727,58.501,104,2025/8/8 21:12
801018,动物保健Ⅱ,高波动,11.73,72.286,32.843,60.483,29.522,66.174,104,2025/8/8 21:12
801032,化学纤维,中波动,10.29,62.793,36.049,59.256,32.775,60.794,104,2025/8/8 21:12
801033,化学原料,中波动,9.672,58.393,34.879,57.069,32.207,59.786,104,2025/8/8 21:12
801034,化学制品,中波动,10.513,66.419,33.458,56.451,31.206,59.105,104,2025/8/8 21:12
801036,塑料,高波动,12.63,76.867,35.709,63.24,31.781,68.918,104,2025/8/8 21:12
801037,橡胶,中波动,10.701,71.446,35.789,59.19,33.514,60.72,104,2025/8/8 21:12
801038,农化制品,高波动,12.053,68.163,32.768,59.723,27.968,65.094,104,2025/8/8 21:12
801039,非金属材料Ⅱ,中波动,9.495,66.065,31.794,53.652,29.372,55.241,104,2025/8/8 21:12
801043,冶钢原料,中波动,10.236,57.679,32.259,55.318,27.916,57.534,104,2025/8/8 21:12
801044,普钢,中波动,10.735,71.947,36.847,59.25,33.369,65.138,104,2025/8/8 21:12
801045,特钢Ⅱ,中波动,9.272,65.129,36.946,58.229,34.062,60.313,104,2025/8/8 21:12
801051,金属新材料,中波动,10.976,68.259,38.234,62.962,35.35,64.739,104,2025/8/8 21:12
801053,贵金属,低波动,8.646,59.875,44.873,62.846,43.541,65.461,104,2025/8/8 21:12
801054,小金属,中波动,10.558,70.522,37.431,59.458,35.105,63.703,104,2025/8/8 21:12
801055,工业金属,低波动,8.93,64.035,44.62,62.723,41.123,64.015,104,2025/8/8 21:12
801056,能源金属,高波动,12.423,68.038,30.264,59.093,25.731,63.343,104,2025/8/8 21:12
801072,通用设备,中波动,11.063,68.478,36.394,62.27,33.7,66.005,104,2025/8/8 21:12
801074,专用设备,高波动,11.56,73.702,35.661,63.429,31.419,67.976,104,2025/8/8 21:12
801076,轨交设备Ⅱ,低波动,8.318,58.711,39.876,58.756,39.102,60.209,104,2025/8/8 21:12
801077,工程机械,中波动,9.646,65.67,41.083,62.512,38.924,65.856,104,2025/8/8 21:12
801078,自动化设备,中波动,10.855,61.843,36.535,62.658,32.63,64.582,104,2025/8/8 21:12
801081,半导体,中波动,10.543,61.796,40.551,63.354,37.584,66.773,104,2025/8/8 21:12
801082,其他电子Ⅱ,中波动,9.641,69.153,43.326,62.971,40.662,65.347,104,2025/8/8 21:12
801083,元件,中波动,9.98,75.71,44.42,64.761,42.635,67.591,104,2025/8/8 21:12
801084,光学光电子,低波动,8.256,59.886,41.29,60.091,40.297,61.273,104,2025/8/8 21:12
801085,消费电子,低波动,8.037,66.34,44.053,61.499,42.766,63.848,104,2025/8/8 21:12
801086,电子化学品Ⅱ,中波动,9.467,70.077,39.282,60.617,36.524,63.516,104,2025/8/8 21:12
801092,汽车服务,中波动,9.405,60.105,34.946,55.107,33.212,59.64,104,2025/8/8 21:12
801093,汽车零部件,中波动,9.902,62.235,40.512,62.406,36.169,65.341,104,2025/8/8 21:12
801095,乘用车,中波动,9.096,46.677,46.308,63.18,41.518,65.738,104,2025/8/8 21:12
801096,商用车,低波动,8.068,61.679,49.659,65.135,47.811,67.356,104,2025/8/8 21:12
801101,计算机设备,中波动,9.955,61.731,38.782,62.286,35.374,64.283,104,2025/8/8 21:12
801102,通信设备,中波动,9.554,76.672,42.443,63.739,40.335,66.903,104,2025/8/8 21:12
801103,IT服务Ⅱ,高波动,12.304,61.331,36.59,65.086,33.74,72.64,104,2025/8/8 21:12
801104,软件开发,高波动,12.762,62.461,34.606,63.238,31.405,70.842,104,2025/8/8 21:12
801111,白色家电,中波动,9.063,48.489,45.995,65.611,42.971,68.836,104,2025/8/8 21:12
801112,黑色家电,中波动,10.506,52.381,41.176,63.028,34.856,65.487,104,2025/8/8 21:12
801113,小家电,中波动,10.22,65.787,35.674,58.307,33.266,62.235,104,2025/8/8 21:12
801114,厨卫电器,中波动,9.418,55.069,36.919,57.828,35.042,59.973,104,2025/8/8 21:12
801115,照明设备Ⅱ,中波动,9.722,56.742,35.452,56.439,33.7,58.718,104,2025/8/8 21:12
801116,家电零部件Ⅱ,中波动,10.885,64.6,37.377,62.353,32.912,64.844,104,2025/8/8 21:12
801124,食品加工,低波动,8.934,54.267,33.295,53.184,31.531,53.964,104,2025/8/8 21:12
801125,白酒Ⅱ,低波动,7.499,42.458,35.272,51.618,33.444,52.617,104,2025/8/8 21:12
801126,非白酒,中波动,10.042,50.894,32.956,55.043,30.266,57.767,104,2025/8/8 21:12
801127,饮料乳品,中波动,10.838,51.51,35.274,60.645,33.837,62.566,104,2025/8/8 21:12
801128,休闲食品,高波动,13.135,55.594,30.361,61.345,26.191,64.452,104,2025/8/8 21:12
801129,调味发酵品Ⅱ,中波动,10.541,44.442,31.838,54.363,28.583,59.649,104,2025/8/8 21:12
801131,纺织制造,中波动,9.5,57.84,38.19,58.449,33.247,60.488,104,2025/8/8 21:12
801132,服装家纺,高波动,11.63,64.677,33.999,56.792,22.197,61.859,104,2025/8/8 21:12
801133,饰品,高波动,11.617,63.892,37.054,60.174,27.99,66.197,104,2025/8/8 21:12
